Promt,promt in Russian,Category,Subcategory,Url
"two russian accordionists, vector style","два русских гармониста, стиль вектор",Art and culture,Music,https://cdn.culture.ru/images/6d87d59b-aeec-5451-93b0-aa0e74d35dce
performance of Russian folk group,выступление русской фолк-группы,Art and culture,Music,https://avatars.dzeninfra.ru/get-zen_doc/1860789/pub_64ede6c3bc38fb683d04580f_64ede6d69e6fc8695c09840e/scale_1200
Russian children walk on a winter evening and sing carols,русские дети идут зимним вечером и поют колядки,Art and culture,Music,https://avatars.dzeninfra.ru/get-zen_doc/4888095/pub_63b8ee878a0b0e3acdde7b5b_63b8f757bed7f6775887ee2e/scale_1200
young lady plays piano in 19th century russian manor,барышня играет на фортепиано в русской усадьбе 19 века,Art and culture,Music,https://cdn.culture.ru/images/7e8dbc61-d079-5257-bd16-5c8dcdfe81c6
a bard sings by the fire,бард поёт у костра,Art and culture,Music,https://osnova.news/i/n/17071/13422559.jpg
Russian guy plays the flute,русский парень играет на свирели,Art and culture,Music,https://postila.ru/resize?w=660&src=%2Fdata%2Fff%2F09%2Fdd%2Fbd%2Fff09ddbdc09c881d8bde256e4a6e9d07f26414b3b0822a6847a7a47f300ea4cb.jpg
boy sings in russian church,мальчик поёт в русской церкви,Art and culture,Music,https://platonovfest.ru/images/ru/gallery9/527/andrey_parfyonov_1448.jpg
The conductor directs the symphony orchestra,Дирижёр управляет симфоническим оркестром,Art and culture,Music,https://cdn.vedomosti.ru/image/2021/86/10i126/mobile_high-1baz.jpg
Two girls in Russian costumes sing on the banks of the Volga,Две девушки в русских костюмах поют берегу Волги,Art and culture,Music,https://sun9-42.userapi.com/impf/XTVFws4D59muFO5-aSsHTG1CEa7udODR09-5cQ/vOAgE19BLzs.jpg?size=1024x683&quality=96&sign=1807e55ef388caf87e81ee416046962d&c_uniq_tag=BpU5QjbAKlLDKdN7xa_dkzOkR_u0_o9A2Z6MDlEkE-c&type=album
Three balalaika players perform on stage,Трое балалаечников выступают на сцене,Art and culture,Music,https://pln-pskov.ru/prptfiles/2023/03/24/big/16796598231.jpg
"""scene from the opera ""Red Poppies""""","сцена из оперы ""Красные маки""",Art and culture,Opera,https://golos-publiki.ru/photo/2014/12/141203-rid-tutti.jpg
view of an opera stage with many singers,вид на оперную сцену с множеством певцов,Art and culture,Opera,https://radinst.com/wp-content/uploads/2022/09/opraa.jpg
a singer dressed as a Russian prince sings on an opera stage,"певец в костюме русского князя, поёт на оперной сцене",Art and culture,Opera,https://operann.ru/image/catalog/spektakli/KnyazIgor/m_atyapsheva_0313.jpg
opera singer dressed as Catherine II sings an aria on the opera stage,оперная певица в костюме Екатерины II поёт арию на оперной сцене,Art and culture,Opera,https://i.pinimg.com/736x/89/1d/c7/891dc7cdd29e12ebb0b6bad008c93570.jpg
opera house building in a 19th century Russian estate,здание оперного театра в русской усадьбе 19 века,Art and culture,Opera,https://images.squarespace-cdn.com/content/v1/54412118e4b03de3b6796773/1526632215274-H4LDIVSB2HUCING1YGXM/800px-Moscow_05-2012_Tsaritsyno_12.jpg
empty opera house stage,пустая сцена оперного театра,Art and culture,Opera,https://www.sportsvideo.org/wp-content/uploads-schubin/2013/03/Drottningholm-dimmed.jpg
"the opera hall is full of spectators, everyone is looking at the curtained stage","зал в опере полный зрителей, все смотрят на закрытую занавесом сцену",Art and culture,Opera,https://www.egti.ru/uploads/storage/42666243-a837-4c96-b062-87e1a9ccf885/teatr-scena-zanaves-stulya.jpg
a girl presents a bouquet to an opera singer on the stage of an opera house,девочка вручает букет оперному певцу на сцене оперного театра,Art and culture,Opera,https://www.buro247.ru/local/images/buro/img_5311_jpg_1337361661.jpg.webp
"Nikolai Baskov in a rich Russian costume, in a fur hat, sings an aria against the backdrop of the Kremlin in Moscow","Николай Басков в богатом русском костюме, в меховой шапке, поёт арию на фоне Кремля в Москве",Art and culture,Opera,https://cdnn11.img.sputnik.by/img/07e4/0c/10/1046407258_39:-1:2034:1254_1920x0_80_0_0_af2febf9dbf9d0a1e76a76bc8ab8ed06.jpg
"opera War and Peace, ball scene","опера Война и мир, сцена бала",Art and culture,Opera,https://i0.wp.com/antennadaily.ru/wp-content/uploads/2022/11/%D0%9E%D0%BF%D0%B5%D1%80%D0%B0-%D0%92%D0%BE%D0%B9%D0%BD%D0%B0-%D0%B8-%D0%BC%D0%B8%D1%80.-%D0%A4%D0%BE%D1%82%D0%BE-%D0%92%D0%B0%D0%BB%D0%B5%D0%BD%D1%82%D0%B8%D0%BD%D0%B0-%D0%91%D0%B0%D1%80%D0%B0%D0%BD%D0%BE%D0%B2%D1%81%D0%BA%D0%BE%D0%B3%D0%BE-%C2%A9-%D0%9C%D0%B0%D1%80%D0%B8%D0%B8%D0%BD%D1%81%D0%BA%D0%B8%D0%B9-%D1%82%D0%B5%D0%B0%D1%82%D1%805.jpg?w=1200&ssl=1
a hut window decorated with carved platbands,окно избы украшенное резным наличником,Art and culture,Decorative and Applied arts,https://mrg-online.ru/wp-content/uploads/2023/04/e3e8dd0d10a7c3756e46eec9ee3b77e9.jpg
silver pendant with large amber,серебряный кулон с большим янтарём,Art and culture,Decorative and Applied arts,https://storage.ufamama.ru/images/cache/rowimages/krpresnyaru-59ad32e5-07ef-11e4-84cd-001517b7f78d_0c70a9ee-39a4-11e5-9227-001517b7f78d.jpeg
"mosaic of Russian gemstones, birch forest on the river bank","мозаика из русских самоцветных камней, берёзовый лес на берегу реки",Art and culture,Decorative and Applied arts,https://cs5.livemaster.ru/storage/43/af/0863c599cdf46b87a35d88b028fx--kartiny-i-panno-kartina-iz-kamnya-berezovaya-roscha.jpg
